date,temperature,rainfall,humidity,month,season
2024-01-01,22,0,68,1,Winter
2024-01-02,23,1,70,1,Winter
2024-01-03,21,0,72,1,Winter
2024-01-04,24,2,65,1,Winter
2024-01-05,26,0,60,1,Winter
2024-01-06,25,3,58,1,Winter
2024-01-07,24,0,63,1,Winter
2024-01-08,23,1,69,1,Winter
2024-01-09,22,0,67,1,Winter
2024-01-10,21,0,71,1,Winter
2024-02-01,23,0,66,2,Winter
2024-02-02,24,1,64,2,Winter
2024-02-03,25,0,62,2,Winter
2024-02-04,26,0,58,2,Winter
2024-02-05,27,2,59,2,Winter
2024-02-06,26,0,60,2,Winter
2024-02-07,25,0,63,2,Winter
2024-02-08,24,1,65,2,Winter
2024-02-09,23,0,67,2,Winter
2024-02-10,22,0,70,2,Winter
2024-03-01,26,0,55,3,Spring
2024-03-02,27,0,50,3,Spring
2024-03-03,29,1,48,3,Spring
2024-03-04,30,0,45,3,Spring
2024-03-05,31,0,43,3,Spring
2024-03-06,32,0,40,3,Spring
2024-03-07,30,2,42,3,Spring
2024-03-08,29,0,46,3,Spring
2024-03-09,28,0,49,3,Spring
2024-03-10,27,1,52,3,Spring
2024-04-01,32,0,48,4,Spring
2024-04-02,33,0,45,4,Spring
2024-04-03,34,1,44,4,Spring
2024-04-04,35,0,42,4,Spring
2024-04-05,36,0,40,4,Spring
2024-04-06,35,2,41,4,Spring
2024-04-07,34,0,43,4,Spring
2024-04-08,33,0,46,4,Spring
2024-04-09,32,1,47,4,Spring
2024-04-10,31,0,49,4,Spring
2024-05-01,34,3,60,5,Spring
2024-05-02,35,5,62,5,Spring
2024-05-03,36,2,58,5,Spring
2024-05-04,37,10,65,5,Spring
2024-05-05,38,15,70,5,Spring
2024-05-06,36,3,66,5,Spring
2024-05-07,35,0,55,5,Spring
2024-05-08,34,0,50,5,Spring
2024-05-09,33,1,57,5,Spring
2024-05-10,32,0,52,5,Spring
2024-06-01,33,20,85,6,Summer
2024-06-02,32,15,80,6,Summer
2024-06-03,31,10,78,6,Summer
2024-06-04,30,25,88,6,Summer
2024-06-05,29,30,90,6,Summer
2024-06-06,30,8,82,6,Summer
2024-06-07,31,12,79,6,Summer
2024-06-08,32,5,76,6,Summer
2024-06-09,33,0,72,6,Summer
2024-06-10,34,3,70,6,Summer
